,Unnamed: 0,token,pos
0,0,Я,PRON
1,1,расскажу,VERB
2,2,кринжовую,ADJ
3,3,стори,NOUN
4,4,о,PREP
5,5,том,PRON
6,6,как,CONJ
7,7,моя,PRON
8,8,тян,NOUN
9,9,вкрашилась,VERB
10,10,в,PREP
11,11,куколда,NOUN
12,12,на,PREP
13,13,дарк,NOUN
14,14,рейв,NOUN
15,15,вписке,NOUN
16,16,И,CONJ
17,17,так,CONJ
18,18,дело,NOUN
19,19,было,VERB
20,20,в,PREP
22,22,году,NOUN
23,23,Я,PRON
24,24,бэкал,VERB
25,25,с,PREP
26,26,воркаута,NOUN
27,27,чиля,CONV
28,28,под,PREP
29,29,топовый,ADJ
30,30,плейлист,NOUN
31,31,своего,PRON
32,32,айпода,NOUN
33,33,как,CONJ
34,34,вдруг,ADVB
35,35,в,PREP
36,36,телеге,NOUN
37,37,мне,PRON
38,38,пришел,VERB
39,39,новый,ADJ
40,40,меседж,NOUN
41,41,в,PREP
42,42,котором,ADJ
43,43,дноклы,NOUN
44,44,приглашали,VERB
45,45,меня,PRON
46,46,залететь,VERB
47,47,на,PREP
48,48,пожилую,ADJ
49,49,хату,NOUN
50,50,ведь,PRCL
51,51,их,PRON
52,52,предки,NOUN
53,53,смылись,VERB
54,54,на,PREP
55,55,дачу,NOUN
56,56,и,CONJ
57,57,можно,ADV
58,58,было,VERB
59,59,всю,PRON
60,60,ночь,NOUN
61,61,флексить,VERB
62,62,на,PREP
63,63,дарк,NOUN
64,64,рэйв,NOUN
65,65,тусовке,NOUN
66,66,Хоть,PRCL
67,67,я,PRON
68,68,и,CONJ
69,69,являюсь,VERB
70,70,агностиком,NOUN
71,71,и,CONJ
72,72,мизантропом,NOUN
73,73,я,PRON
74,74,все,PRCL
75,75,же,PRCL
76,76,решил,VERB
77,77,посетить,VERB
78,78,этот,PRON
79,79,ивент,NOUN
80,80,заказав,CONV
81,81,каршеринг,NOUN
82,82,и,CONJ
83,83,достав,CONV
84,84,свой,PRON
85,85,джул,NOUN
86,86,я,PRON
87,87,пошел,VERB
88,88,сталкерить,VERB
89,89,падик,NOUN
90,90,неподалеку,ADVB
91,91,где,ADVB
92,92,по,PREP
93,93,рофлу,NOUN
94,94,палил,VERB
95,95,зашкварные,ADJ
96,96,тиктоки,NOUN
97,97,от,PREP
98,98,инстасамки,NOUN
99,99,и,CONJ
100,100,володи,NOUN
101,101,ххл,NOUN
102,102,в,PREP
103,103,котором,PRON
104,104,блогеры,NOUN
105,105,дисили,VERB
106,106,и,CONJ
107,107,шеймили,VERB
108,108,друг,PRON
109,109,друга,PRON
110,110,и,CONJ
111,111,тут,ADVB
112,112,спустя,PREP
113,113,полчаса,NOUN
114,114,на,PREP
115,115,мой,PRON
116,116,айфон,NOUN
117,117,приходит,VERB
118,118,голосовуха,NOUN
119,119,с,PREP
120,120,конфы,NOUN
121,121,класса,NOUN
122,122,в,PREP
123,123,которой,PRON
124,124,меня,PRON
125,125,забайтили,VERB
126,126,фастом,ADVB
127,127,двигать,VERB
128,128,к,PREP
129,129,подземке,NOUN
130,130,ведь,PRCL
131,131,вечеринка,NOUN
132,132,была,VERB
133,133,уже,ADVB
134,134,в,PREP
135,135,разгаре,NOUN
136,136,и,CONJ
137,137,все,PRON
138,138,ждали,VERB
139,139,только,PRCL
140,140,меня,PRON
141,141,Врываюсь,VERB
142,142,я,PRON
143,143,на,PREP
144,144,пати,NOUN
145,145,и,CONJ
146,146,вижу,VERB
147,147,как,CONJ
148,148,токсики,NOUN
149,149,и,CONJ
150,150,чсв,NOUN
151,151,клоуны,NOUN
152,152,дноклы,NOUN
153,153,хейтили,VERB
154,154,мою,PRON
155,155,краш,NOUN
156,156,тян,NOUN
157,157,за,PREP
158,158,то,PRCL
159,159,что,CONJ
160,160,ее,PRON
161,161,палёный,ADJ
162,162,трешер,NOUN
163,163,был,VERB
164,164,затарен,PRT
165,165,в,PREP
166,166,секонде,NOUN
167,167,хотя,CONJ
168,168,они,PRON
169,169,сами,PRON
170,170,были,VERB
171,171,одеты,ADJ
172,172,при,PREP
173,173,этом,PRON
174,174,в,PREP
175,175,мерч,NOUN
176,176,ЦУМа,NOUN
177,177,с,PREP
178,178,зашкварными,ADJ
179,179,принтами,NOUN
180,180,бомж,NOUN
181,181,и,CONJ
182,182,лицемер,NOUN
183,183,Знатно,ADVB
184,184,порофлив,CONV
185,185,над,PREP
186,186,происходящим,PRT
187,187,я,PRON
188,188,вписался,VERB
189,189,за,PREP
190,190,тян,NOUN
191,191,и,CONJ
192,192,сагрился,VERB
193,193,на,PREP
194,194,этих,PRON
195,195,позеров,NOUN
196,196,мол,PRCL
197,197,вы,PRON
198,198,сначала,ADVB
199,199,свой,PRON
200,200,шмот,NOUN
201,201,чекните,VERB
202,202,а,CONJ
203,203,потом,ADVB
204,204,бульте,VERB
205,205,остальных,ADJ
206,206,челов,NOUN
207,207,Такая,PRON
208,208,кринжовая,ADJ
209,209,мизогиния,NOUN
210,210,была,VERB
211,211,примером,NOUN
212,212,типикал,ADJ
213,213,харасмента,NOUN
214,214,на,PREP
215,215,нашей,PRON
216,216,тусе,NOUN
217,217,ведь,PRCL
218,218,почти,ADVB
219,219,все,PRON
220,220,ее,PRON
221,221,участники,NOUN
222,222,были,VERB
223,223,слатшеймерами,NOUN
224,224,газлайтерами,NOUN
225,225,и,CONJ
226,226,виктимблеймерами,NOUN
227,227,но,CONJ
228,228,я,PRON
229,229,был,VERB
230,230,не,PRCL
231,231,таким,PRON
232,232,я,PRON
233,233,вступился,VERB
234,234,за,PREP
235,235,эту,PRON
236,236,телку,NOUN
237,237,за,PREP
238,238,что,CONJ
239,239,она,PRON
240,240,заагрилась,VERB
241,241,и,CONJ
242,242,стала,VERB
243,243,меня,PRON
244,244,флеймить,VERB
245,245,объясняя,CONV
246,246,это,PRON
247,247,тем,PRON
248,248,что,CONJ
249,249,она,PRON
250,250,социапат,NOUN
251,251,и,CONJ
252,252,всегда,ADVB
253,253,сама,PRON
254,254,по,PREP
255,255,себе,PRON
257,257,вс,PREP
259,259,и,CONJ
260,260,подобные,ADJ
261,261,подсосы,NOUN
262,262,как,CONJ
263,263,я,PRON
264,264,ее,PRON
265,265,тригерят,VERB
266,266,к,PREP
267,267,слову,NOUN
268,268,она,PRON
269,269,была,VERB
270,270,нигилисткой,NOUN
271,271,асексуалкой,NOUN
272,272,и,CONJ
273,273,циником,NOUN
274,274,а,CONJ
275,275,в,PREP
276,276,прошлом,NOUN
277,277,ещё,ADVB
278,278,и,CONJ
279,279,хоумстакершой,NOUN
280,280,так,CONJ
281,281,что,CONJ
282,282,такое,PRON
283,283,ее,PRON
284,284,поведение,NOUN
285,285,меня,PRON
286,286,не,PRCL
