,id,text,sent
0,2362788,"Приехав на автобусе с аэропорта в отель нам дали заполнить анкету и ожидать до заселения в номер было 5 часов. Не было предложено заселиться в свободный номер, чтобы хотя бы понять душ после перелета. 
К 14:00 подошли на ресепшен узнать о готовности номера, но очень долго искали нашу карточку отеля, не сказали куда идти, не помогли донести багаж, все сами…
Сам номер был чистый, мини бар был наполнен 1,5 бутылками: фанты, колы, спрайтом и водой без газа. Но в душевой кабине не было одной двери, и из-за этого вся вода была на полу возле раковины, поселили на первом этаже , и с балкона шел сильный запах канализации, дверь балкона очень тяжело открывалась. Видно, что в номере давно не проводился косметический ремонт.
Территория отеля большая, все зеленое, хорошо убрано, для детей много игровых площадок.
Есть два бассейна, чистые, большие.
На море много свободных мест, есть выход к пирсу, где так же можно полежать позагорать.
Анимацией отеля не пользовались, но было желание использовать спортивный инвентарь для игры в настольный теннис и баскетбол. Чтобы взять инвентарь, приходилось очень долго искать аниматора, не хотя давали инвентарь, как будто мы его заберем себе, не которые аниматоры врали, и говорили, что сегодня не рабочий день и они не могут выдать нам мяч, но это полный идеотизм. 
В столовой кормили не плохо. Но не было прям вау, то, что прям хотелось сильно попробовать.
Уборка номеров проводилась только тогда когда находили в коридоре горничную. Минибар пополнялся только при заезде в номер. Белье не менялась в течение всего отпуска. Не было за весь отпуск проведена влажная генеральная уборка, а только смена полотенец и и вынос мусора. 
Аля карта посетили турецкий ресторан ( барбекю). Полную подачу блюда,  то что в меню,  мы не смогли досидеть, потому что в промежутки времени между блюдами большие, блюда особо не интересные,  очень похоже на то, что подают в обычной столовой, за исключением некоторых позиций. Еда совсем не ресторанного уровня, а просто из столовой, которую вы  каждый день едите. Вино подавали красное и белое, мы взяли красное, и по вкусу оно совершенно дешёвое. Цена ему рублей 300, потому что нам есть с чем сравнить. Мы вино более-менее часто пьем, как бы можем отличить, от совсем плохое от нормального вина.
В общем и целом, если вы любите тусовки, поздно ложитесь спать и готовы рано вставать, так ка отель семейный, и дети очень рано просыпаются, а звукоизоляция очень плохая,  то этот отель вам подойдёт, но только при условии что вы берёте небольшое количество дней, потому что при такой уборки находить там длительное время будет не очень комфортно. Будет хорошо, если вам повезёт с номером, потому что в номере, допустим как наш, не было полноценно двери ванной, весь пол всегда был мокрый, сильный запах от канализации.
На пляж ходить удобно пляж, чистый есть пирс с разной высотой, принципе можно понырять в море с разной высоты.",neg
1,2362209,"Здравствуйте, был в отеле «JUSTINIANO CLUB PARK CONTI 5* в период с 6 по 15 июля . Хочется поделиться самыми лучшими впечатлениями от отдыха. Отель замечательный, близкое расположение ко всем достопримечательностям. Три бассейна, зоопарк, много развлекательных программ от аниматоров! Вечером Шоу-тайм как для детей так и для взрослых! В отеле все чисто, аккуратно, уборка номеров. Разнообразное меню, отдельно есть снек-бары где можно перекусить в не обеда. Особенно хочется поблагодарить аниматоров ( две Анастасии и Эрдогана) а так же персонал бара. Спасибо за замечательный отдых😉",pos
2,2362115,"Начну с того что в этом отеле хотела побывать очень давно. Красивая, большая территория, шикарная аннимация, хорошие отзывы в целом способствовали большому желанию попасть в этот отель. В Турции была много раз. Сравнить есть с чем. Питание. Писали некторые  что есть нечего, но как то не верилось... Как же так такой отель,  5 звезд, люди возвращаются... Но! Есть действительно нечего... Совсем... То ли инфляция так больно ударила, то ли жадность хозяина отеля, не знаю... Жареная селедка ежедевно, и индейка. И каждый день абсолютно одно и тоже... Ведь можно же эту несчастную индейку приготовить в разных вариантах, так нет.. Не хотят заморачиваться... За круаассанами битва ежедевно, за кофе огромные очереди, свободный стол не найти вообще, это очень печально... Про полотенца писали много, это действительно так. Ну да ладно это не самое главное. А вот вай фай за который вы заплатите 20 евро за 10 дней у вас не будет ловить нигде. Совсем. ОТдельная история про мини клуб.  Опять же писал кто-то что там все платно!!! Но так ведь опять не верилось, как же так!!! Платно абсолютно все! Даже поучаствовать в конкурсе мисс и мистер отель для детей стоит 20 долларов, ну и далее там всякие футболки, мордочки раскрасить тоже все платно. Первый раз встречаю такое. А знаете откуда хорошие отзывы? Прямо в рупор не стесняются обьявлять что за хороший отзыв о миниклубе вашего ребенка ждет приз!!!! Это позорище просто. То же самое про сам отель, вам дадут приглашение в аля-карт тоже за хороший отзыв об отеле. Нет слов! Вот откуда хорошие отзывы.  В Аля-картах делать нечего, еда из основной столовки. Из плюсов конечно шикарная территория, пляж, пирс, очень красивые шоу вечером. На этом плюсы заканчиваются. Лежаков у бассейна нет как и писали ранее, некторые просто на траве на полотенцах лежат... Цена на этот отель недешевая. Раньше говорят все было отлично. Что случилось в этом году непонятно и очень грустно...",neg
3,2359660,"Здравствуйте. В Турции не первый раз. Выбирали отель долго и тщательно. Цены были огромные. Пришлось вылетать с Омска, не с Красноярска из за ценовой разницы. 
Отель просто замечательный. Номера чудесные. Еда просто божественна. Анимация на ВЫСОТЕ. Территория ухоженная, большая. Первая линия береговая. Все чисто, аккуратно. Дочь в восторге, да и супруг тоже. Все включено все-таки. Корпус был №7, подальше от дискотек. 
Спасибо за гостеприимство, улыбки, пожелания и тепло, что подарил нам коллектив этого отеля. 
Надеюсь вернемся в следующем году.",pos
4,2359552,"В общем и целом можно уверенно сказать, что наш отпуск удался! Всё оказалось лучше наших ожиданий, особенно с учетом свежих отзывов за май-июнь, которые нас реально напрягли) И сами мы с женой, и обе дочки (5 и 8), и наша супербабушка получили массу положительных эмоций и зарядились мощной энергией моря и солнца.
А теперь обо всем по порядку.
Перелет. Летели авиакомпанией Corendon, больше, наверное, не полетим - онлайн регистрации нет, питание только платное (вода - 2,5€, чай - 4,0€), по-русски ни бельмеса не шпрехают. Если на рейсе туда нас посадили вместе (друг за другом 3+2), то на обратном рейсе я сидел через 4 ряда от семьи. Когда двум женщинам из-за изрядной духоты в салоне стало плохо, выяснилось, что на борту нет даже элементарной аптечки, а подготовки стюардесс хватило только на предложение пересесть в хвост самолета, где было посвежее, и стакан воды со льдом. Врача в салоне не обнаружилось, в итоге давление измеряли аппаратом нашей бабушки, лекарства собирали по салону, а мне с моими скромными познаниями в английском пришлось подработать переводчиком. Летели без задержек, сели в 6:20, и уже в 8:30 утра мы были в отеле (трансфер заказывали сами).
Заселение. Браслетами нас окольцевали моментально, выдали карточки на пляжные полотенца (ранее в отзывах писали, что полотенца выдают под залог - сейчас это не так, работают над ошибками, молодцы), и мы отправились на завтрак и знакомство с территорией. Перекусили, дошли до моря, помочили ножки, немного осмотрелись и вернулись на ресепшен, поскольку становилось уже жарко, а нам очень хотелось поскорее заселиться, умыться и переодеться. К сожалению, готовых к заселению номеров к 10 часам не появилось. Ситуация не поменялась и в 12 часов, и после того, как мы пообедали, а что самое печальное, нас не смогли заселить и в 14 часов… Администрация отеля ссылалась на большой объем выезжающих и заселяющихся, и на то, что персонал не успевает готовить номера. В целом за период отдыха у нас создалось впечатление, что персонала в отеле просто не хватает. Наконец, в 14:20 нам выдали заветные карточки от номера и сориентировали, где его искать (да-да, именно так, территория у отеля достаточно большая, корпусов много, а носильщик всего один и постоянно занят).
Размещение. Номер нам достался в корпусе (бунгало) Магнолия на 2-м из 3-х этажей. Достаточно просторный двухкомнатный фэмили с большим балконом и исправно работающими кондиционерами в каждой из комнат. Мебель, судя по всему, стоит с момента открытия отеля (1998) и нуждается в обновлении, также неплохо было бы обновить и сантехнику - от схожего со взлетом реактивного самолета звука при заполнении бачка унитаза в первый раз мы дружно подпрыгнули, и так и не смогли к нему привыкнуть за все время отдыха (ночью старались не пользоваться смывом, чтобы никого не разбудить). В ванной присутствовало мыло и гель для душа в дозаторах, а также туалетная бумага. И всё. Для 5* весьма неожиданно. Тапочек и полотенец нам положили только на 4-х, но мы встретили горничную и она нам быстро добавила необходимое. Уборка проводится ежедневно, а вот с заменой полотенец и постельного белья просто печаль. Если замену полотенец мы научились регулировать, сбрасывая совсем грязные на пол, то постельное нам за 12 ночей, судя по всему, так ни разу и не поменяли. Сейф в номере, опять же, вопреки предыдущим отзывам, бесплатный, нужно только получить для его активации специальный магнитный ключ на ресепшен. Вай-фай на территории платный (16$ за неделю) и нестабильный - в номере работал практически всегда, в ресторане и на пляже с большими перебоями.
Питание. В целом, неплохо, но достаточно однообразно. Не хватает мясных блюд, совсем нет морепродуктов, как правило, только один вид рыбы, также удивило отсутствие бананов (при наличии под боком километров теплиц для их выращивания). Есть детский буфет - супчик, каша, отварные овощи и курица. За популярным омлетом с сыром или круассанами придётся отстоять очередь 10-15 минут. Почему нельзя загрузить в печь больше противней с круассанами, раз уж они пользуются таким спросом - не понимаю. Экономия на спичках?
Основная проблема главного ресторана - недостаточное количество мест. Особенно острой эта проблема становится на ужине - можно и 10, и 20 минут безуспешно искать свободные места. Проблему, скорее всего, создал новый корпус Moonlight, построенный в 2013 году и давший дополнительных 300 гостей (итого теперь имеем 900 мест в ресторане на 1,5 тыс отдыхающих). Отдельный вопрос к отелю, почему ресторан оснащен 4-х и 8-ми местными столиками, если жилой фонд предусматривает 2-3 и 4-5 местное размещение?? Для уменьшения пиковой нагрузки вечером ресторан негласно открывают на полчаса раньше - в 18:30. В принципе, это позволяет тем, кто в теме, спокойно поужинать до наплыва основной массы отдыхающих (везде размещена информация, что ужин с 19:00 до 21:00), но это полумера. Полноценный бар - только в главном корпусе (?!!), в барах у бассейна и пляжа за те же самые коктейли и крепкий местный алкоголь (входящий в AI) попросят заплатить - бред.
Пляж и море. Пляж песчано-галечный. Песчаный - там где зонтики и лежаки, и галечный - там где заход в море) Галька разномастная, ходить без обуви достаточно неудобно. Уклон дна резкий, нырял у буйков - уже метра 4, маленьким однозначно нужны круги/нарукавники. Как вариант - в воду можно нырять или спускаться по лесенке с небольшого пирса. Пляж достаточно протяженный, лежаков хватает, за 13 дней у нас была только одна ситуация, когда мы с трудом смогли найти свободные места. Положительный момент галечного дна - прозрачная вода. Слева за мысом, как правило, ветрено и волнисто, но вода на пару градусов теплее. Мне она также показалась более соленой, чем на основном пляже - возможно течения замешивают воду из впадающего в паре километров правее ручья Алара или каких-то подземных рек.
Анимация. Взрослая - ненавязчива от слова совсем) Если вам она нужна - располагайтесь у главного бассейна, до пляжа призывы аниматоров долетают редко. Главная цель детской анимации достигнута - дети в восторге! Про качественные вечерние шоу уже не раз писали в отзывах - подтверждаем, уровень очень неплохой.
Территория. Большая и зеленая, хотя местами хотелось бы больше пальм и кустарников для создания тени. Практически всю первую половину дня садовники занимаются поливом газонов и растений, а затем стригут, ровняют и косят, в общем, молодцы! На территории есть корт для тенниса, баскетбольная и волейбольные площадки, небольшое футбольное поле, пара детских площадок, аквапарк из 3-х горок и знаменитый зоопарк! Нууу, такой себе) Несколько павлинов, петухи, курицы, цесарки, утки, гуси и пара десятков кроликов. Каждый день рвали травку и кормили, преимущественно, кроликов, порой (по инициативе младшей) ходили и два, и три раза за день. Касательно детских площадок, очень хотелось бы добавить обычных качелей - на две существующих вечером постоянно скапливались очереди. Зато футбольное поле активно используется малышами для гонок на электромобильчиках)
Итого. На 5* этот отель, конечно, может претендовать с большооой натяжкой. Необходимо доукомплектовать персонал, наладить нормальное обслуживание номеров, реорганизовать пространство в ресторане и разнообразить меню. Но и на текущий момент можем смело рекомендовать этот отель для семейного отдыха и оценить его на твёрдую четверку!
P.S. Большое спасибо за профессионализм и лояльность сотруднице ресепшен Анжеле и отдельная благодарность от детей руководителю детской анимации Светлане!)",pos
5,2359043,"- [ ] В отеле Justiniano park club conti отдыхали с сыном в июле 2023 года. Ни на секунду не пожалели, что выбрали данный отель. Если ехать с отличным настроением, то все у вас будет наивысшем уровне!!!!Огромная зеленая территория, водные горки, бассейны, сауна, массажный салон, рестораны аля карт. Хотелось бы отметить питание. Каждый может найти , чем полакомится. Отдельный детский стол. Выпечка выше всяких похвал. Анимация в отеле представлена как для детей, так и для взрослых. С детьми каждый день занимаются опытные аниматоры, а вечером организуют мини-мини диско. Все дети в восторге!!! Взрослая анимация также разнообразна: зарядка, аква-аэробика, водные игры, дартс, зумба и многое другое. Хотелось бы отметить аниматоров Анастасию и Анастасию макарун:)))). Всегда с улыбкой, интересными активити!!! Девочки с душой относятся к каждому туристу. Вообще вся команда аниматоров сделала наш отдых. Хотелось бы поблагодарить владельца отеля. Такие шоу для взрослых в амфитеатре нигде не видела. Приглашают профессионалов!!!! В один из вечеров была дискотека для взрослых с отличной музыкой, лазер шоу!!! При завершении нас ждал целый корабль Big Kral!!!! На нем была организована дискотека и морское путешествие на пару часов. И это все бесплатно!!!!! Хотелось бы сказать , что в Justiniano park club conti хочется вернутся еще много раз!!!!!",pos
6,2358102,"Здравствуйте! Мы с мужем и сыном, ему 2 года, отдыхали в начале июня в Турции в отеле JUSTINIANO CLUB PARK CONTI 5*. Нам очень понравилось. 

Мы ехали на море, с него и начну. Море чистое, теплое, дно каменистое, поэтому рекомендую покупать аквашузы или другую специальную обувь. В море было 2 спуска, где можно спуститься без специальной обуви, а также спуск с пирса. Лежаков достаточно, мы приходили после завтрака где-то в 8.30, всегда находили лежаки под зонтиком. Перед нашим отъездом обратила внимание, что люди стали приходить и занимать лежаки заранее, мы так не делали. Пляжные полотенца нам выдали без залога, менять их можно через день. Нас это полностью устраивало. Малышу брали с собой игрушки для песка и машинки, аниматоров на пляже я не видела, а персонал всегда был утром и вечером: убирали мусор, чистили лежаки. Немного подвела погода, первые дни было прохладно, но позже - просто замечательно! 

Мы жили в корпусе moonlight на 5 этаже,  номер стандартный претензий нет. Мы приехали в 10.30, нас заселили в 14.00. Убирали хорошо, полотенца меняли через день. Мы всегда оставляли по доллару на чай, а однажды забыли, так горничная, наверное, испугалась и даже лебедей нам накрутила, было забавно. Возле нашего корпуса был бар и 2 бассейна: детский и взрослый. Т.к. корпус находится немного в стороне от других зданий, в бассейне были только те, кто жили в этом корпусе, совсем мало людей. Мы в бассейне не плавали, а вот малыш любил поплескаться в детском, я была не против, потому что других детей там никогда и не видела. В общем, бассейн только для сына. В соседнем здании был ремонт, возможно, поэтому в бассейне было немноголюдно. Также на территории отеля был большой глубокий бассейн, где происходила вся движуха, был бассейн с горками, дети веселились там от души, глубокий детский бассейн, он небольшой, но детей там было много и спасатель обязательно! Был еще классный бассейн с горками для малышей, деток много, там весело, но мы сходили туда 2 дня, а на третий, чего в нем только не было: и песок, и трава, и сопли, поэтому, мы тусовались в нашем маленьком “лягушатнике», зато одни.

Территория отеля очень большая и красивая, можно прогуляться пешком, малышу брали коляску, можно брать самокат, проезжали везде без проблем. Для меня это было важно, не хотелось тягать коляску по ступенькам. На территории отеля свой зоопарк, совсем маленький и грязный, поэтому наслаждались павлинами и цесарками, когда они гуляли по территории отеля. Мне понравились детские площадки, где малыш мог побегать. Таких площадок было 2, там всегда много детей. Была еще специальная зона развлечений для детей с игровыми автоматами, машинками, сладостями и тд. Все за отдельную плату. Поскольку наш ребенок маленький, мы там особо не тусовались, но вообще, там детей много. 

Про анимацию много сказать не могу, тк на пляже ее не было, а у бассейна мы не тусовались. Однажды я сходила на утреннюю зарядку-пилатес, мне понравилось. Была пенная вечеринка, но мы, к сожалению, ее пропустили. Вечером мы ходили на мини-диско, было отлично! Классная аниматор Светлана, такая зажигательная и позитивная, периодически самим хотелось потанцевать. Малыш не участвовал, но смотрел с удовольствием, аплодировал, пританцовывал на месте. Пару раз мы попадали на вечерние шоу, было здорово, больше всего меня впечатлила «Турецкая ночь».

Вообще меня очень покорило отношение персонала к ребенку. Все были очень милые, улыбались, давали 5, старались максимально угодить. В столовой всегда максимально помогали, принести, убрать, было очень приятно. В принципе, отношение к ребенку было отличным везде: и в магазинах, и в аэропорту. Здесь же допишу про интернет. Интернет бесплатный в конференц зале, либо 20$ за 10 дней на 1 телефон. Нам интернет не особо был нужен, мы пользовались приложением airalo, нам так удобнее. 

Про еду. Еда мне понравилась. Выбор был всегда и взрослым и детям. На завтраке всегда был выбор каш: молочные и безмолочные, всевозможные омлеты и яичницы, блинчики, ветчина, сыры, много овощей и фруктов, выпечка. Обеды и ужины были похожими, всегда была рыба и мясо, несколько раз были мидии, креветки, кальмары, различные гарниры: картофель фри, запеченые овощи, макароны, каши, салаты или просто овощи в большом количестве. Куча сладостей, фруктов. Для малышей был специальный «островок» с едой, там всегда был суп, каша, отварная курица или сосиски, подлива, и овощи на пару, типа брокколи или цветной капусты. Были детские стульчики, очень удобно. Из алкоголя мы пили пиво, понравилось - легкое, чтобы захмелеть, но не опьянеть! Также вино белое и красное, нормально. Я люблю вина понежнее типа итальянских или испанских, здесь же вино более насыщенное, терпкое. Мы с мужем не любители коктейлей, однажды взяли попробовать - было слишком сладко, но это, как говорится, на любителя. С 11 до 16 работал бар на пляже, где можно было взять бургеры и картошку фри, с 12.30 до 15.30 можно было поесть мороженое. Также после обеда работала «кофейня», где можно было угоститься печеньем, сладкими кексами и пирожными и выпить чашку кофе. Честно скажу, мы выносили из столовой фрукты и выпечку на пляж - перекус для ребенка. Для меня этот вариант более приемлем, чем бургеры и фри. Также, однажды мы посетили турецкий ресторан а-ля карт. Не скажу, что я в восторге, но я и не жалею, что выбрали именно турецкий ресторан, а не итальянский или рыбный. Нам понравилось основное блюдо - мясо и овощи на мангале, а также десерт, остальные блюда не очень, но опять-таки, считаю, что это исключительно «вкусовщина», каждому свое. 

Подводя итоги, скажу, впервые я была в Турции 10 лет назад в Мармарисе огромной компанией, мы были молоды и свободны, было отлично. Поэтому сейчас ехать с семьей было немного страшно, не хотелось разочаровываться. К счастью, я только очаровалась. Прекрасное море, хороший номер, вкусная еда, любимые люди рядом - мне больше ничего не нужно!",pos
7,2354133,"Автор отзыва не дал развернутого описания об отдыхе в отеле.
Я хочу более детально поделиться своими впечатлениями об отдыхе в отеле.",pos
8,2353863,"Автор отзыва не дал развернутого описания об отдыхе в отеле.
Я хочу более детально поделиться своими впечатлениями об отдыхе в отеле.",pos
9,2353779,"Мы провели прекрасные 2 недели с семьей, 2 взр.+2 реб (4+11)
Жили в 7 корпусе на 7 этаже, вид на море, за номер ничего не доплачивали, турагента попросили написать в отель наши пожелания, но мы просили главный корпус, но этот нам тоже очень понравился, все рядом в 5 минутах.
Территория большая, зелёная,есть беседки для отдыха, бесплатно
Ресторан - это изобилие, все вкусно, Нюансы - очередь на завтрак за омлетом, реально не понимаю человек по 10 стоят, на обед и ужин вообще очередей нет и стол на ужине в 19.30 не найти, так что приходите или к 19.00 или уже к 20.00, а так все ОК, фрукты яблоки, груши, слива, алыча, черешня, клубника, арбуз. Индейка, тунец, морской окунь и много чего ещё!

Анимация - красивые шоу, отдельно отмечу детскую анимацию, с детьми реально занимаются их можно оставить, может и ответственности не несут, но за мини смотрят, видела как две маленькие девочки вышли сами , за ними вышла аниматор проконтролировала что они идут к маме.

Уборка - каждый день, без комментариев все отлично!

Контингент - русские 60%, украинцы и поляки, все дружелюбны общалась и с с Украины с женщиной и с поляками - прекрасные люди. Ещё граждане Казахстана есть, но с ними не удалось пообщаться. Иностранцы -зеленые браслеты, оранжевые - русскоговорящие, жёлтые - кто не первый раз в отеле.

Отель реагирует на комментарии , писали ранее что нет микроволновки, сейчас она есть.

Пляж - лежаки занимают рано , но отель реагирует - поставили два дополнительных ряда зонтиков и лежаков

Благодарю JUSTINIANO CLUB PARK CONTI 5* за чудесный отдых",pos
